cellID X_coor Y_coor Z_coor UMean_X UMean_Y UMean_Z Iu Iw Uv It
34550 0.0248365 0.446864 0.0248368 16.5126 -0.457428 -0.64394 13.9143 7.54746 14.1134 12.2302
95962 0.0190115 0.441162 0.0190117 16.4253 -0.612009 -0.657497 15.1173 7.65213 14.8999 13.0074
95967 0.0248372 0.441184 0.0190118 16.4492 -0.649201 -0.418304 14.6242 7.5228 14.3954 12.6047
96014 0.0190115 0.441184 0.0248374 16.381 -0.684028 -0.832923 16.1966 8.20152 15.5582 13.7742
96020 0.0248371 0.441205 0.0248374 16.4049 -0.752052 -0.661208 15.7964 8.10536 15.2615 13.492
96175 0.0190114 0.446828 0.0190116 16.4998 -0.314848 -0.625953 13.4341 7.38628 13.8513 11.9181
96181 0.0248366 0.446846 0.0190116 16.5066 -0.381319 -0.413806 13.2179 7.31955 13.5867 11.7247
96235 0.0190114 0.446846 0.0248368 16.504 -0.368529 -0.791617 14.0186 7.63809 14.2419 12.3345
96287 -0.027606 0.402125 -0.027606 14.6428 -0.871255 2.97469 30.6355 10.5195 21.0837 21.83
96293 -0.0276764 0.441297 -0.0276768 16.2902 1.0716 -0.79786 12.5384 8.06502 13.3125 11.5009
96297 -0.0276062 0.402123 -0.0217608 13.529 -0.974968 4.16478 36.4918 12.7297 25.7779 25.5739
96300 -0.0276792 0.441231 0.0190122 16.6019 1.74385 -2.37029 14.656 11.1585 13.9479 13.1351
96302 -0.0276783 0.441264 -0.0218214 16.386 0.981024 -1.02622 12.5583 8.02683 13.4915 11.5636
96304 0.0651229 0.403236 -0.0275907 9.68848 -0.52747 -6.51168 53.6203 28.0756 41.1032 35.0224
96307 0.0248379 0.441251 -0.0276778 16.3322 0.440053 1.03265 12.8812 7.70646 13.8157 11.7506
96309 0.0248281 0.402122 -0.0276062 14.0672 -0.930346 -4.49316 29.7103 9.41037 23.5759 21.4494
96310 0.0656022 0.441664 -0.0276462 15.9742 1.28089 2.06823 16.7097 11.4418 14.2803 14.1438
96311 0.0651229 0.403235 -0.0217569 11.4886 -0.921184 -5.62034 44.6566 20.8113 31.7456 30.3175
96312 0.0248377 0.441217 -0.0218221 16.3627 0.202552 0.829832 12.8566 7.23985 13.7422 11.6254
96313 0.0248279 0.402119 0.0190065 15.0867 -0.268987 1.53483 23.5683 6.80439 17.7361 17.3845
96314 0.0655966 0.441626 0.0190124 16.5832 -0.804836 0.62926 14.5761 7.22069 14.4103 12.5229
96315 0.0248281 0.40212 -0.0217609 14.8717 -0.613519 -2.84253 25.2973 7.18808 18.5997 18.2516
96316 0.0655998 0.441646 -0.0218 16.0402 0.84041 2.03995 16.9161 10.589 14.9431 14.2599
96317 0.0651226 0.403233 0.0190071 16.2738 -0.498863 -0.710405 20.4154 6.37407 12.8926 14.3976
96332 -0.0276777 0.441251 0.0248379 16.5422 2.0155 -2.42203 15.4994 11.8537 13.7065 13.5241
96336 -0.0276462 0.441664 0.0656022 15.6864 3.45535 -1.94687 21.1838 14.9727 13.8444 16.4586
96338 0.0190065 0.402119 0.0248279 14.2555 -0.354258 2.69068 28.64 8.64563 21.8083 20.9973
96339 -0.0218221 0.441217 0.0248377 16.5312 1.27044 -2.39023 16.8324 11.0946 14.6921 14.213
96340 0.0190114 0.441626 0.0655975 14.7292 -0.517525 -2.28194 31.145 15.6632 22.0353 23.5162
96341 -0.0217609 0.40212 0.0248281 6.03611 -0.419185 8.54474 91.2993 36.7488 79.8651 42.187
96342 0.0190071 0.403233 0.0651226 10.3454 -0.41406 5.36401 48.7295 22.8848 36.1858 33.2265
96343 -0.0218001 0.441646 0.0655999 15.4968 2.87619 -2.36213 24.0693 15.6181 15.1964 18.2272
96344 0.0651854 0.403948 0.0651849 15.5674 -0.908604 1.90921 24.3928 10.5766 17.4588 18.1967
96345 0.024828 0.40212 0.024828 14.6797 -0.274837 2.09006 26.2057 7.67352 19.6654 19.2308
96346 0.0655975 0.441637 0.024838 16.6485 -0.918118 0.474008 14.3749 7.32506 14.2568 12.4066
96347 0.0248368 0.441637 0.0655988 14.826 -0.763383 -2.07533 30.4538 14.9404 21.8975 23.0556
96348 0.0651227 0.403234 0.0248294 16.3648 -0.494223 -0.453563 19.9849 6.16306 13.013 14.2092
96349 0.0248293 0.403234 0.0651228 11.4689 -0.577326 4.85206 42.25 19.8149 31.3324 29.8554
96350 0.0656149 0.44182 0.0656199 16.3323 -1.57175 -0.523386 19.2321 9.38709 16.622 15.565
96354 -0.0217608 0.402123 -0.0276062 15.4351 -0.573155 1.72782 24.3968 7.98937 17.0679 17.6759
96357 0.0190122 0.441231 -0.0276793 16.3433 0.376721 0.819341 12.8224 7.42044 13.6081 11.5964
96359 0.0190064 0.402121 -0.0276063 14.5276 -0.861524 -3.74976 27.5803 8.56584 21.4888 20.0905
96360 -0.0218211 0.441264 -0.0276786 16.3311 0.854617 -0.624162 12.4943 7.73265 13.3397 11.4339
96817 -0.0217609 0.402121 -0.0217609 14.6658 -0.677275 2.83612 29.1442 9.36122 20.7406 20.938
96818 0.019012 0.441196 -0.0218232 16.375 0.165095 0.609272 12.766 7.0743 13.5098 11.4738
96819 0.0190065 0.402118 0.0190065 14.6435 -0.306018 2.17573 26.0488 7.75123 19.8173 19.2045
96820 -0.0218231 0.441196 0.019012 16.6135 1.1398 -2.2767 15.1131 10.3833 14.6599 13.3976
96821 0.0190065 0.402119 -0.021761 15.1594 -0.534551 -2.26741 23.5437 6.84163 17.0591 17.0445
96822 -0.0218224 0.44123 -0.0218227 16.4168 0.740402 -0.847762 12.5458 7.61883 13.5222 11.4954
96823 -0.021761 0.402119 0.0190065 6.80433 -0.555043 8.55234 81.9896 32.6092 68.3651 40.0716
97861 -0.0455588 0.418989 -0.0455598 17.036 1.2857 -1.50062 13.0903 7.57218 16.7537 12.9437
97862 -0.0276027 0.402162 -0.0455064 15.8393 -1.38427 -1.84268 25.9512 10.4471 16.3835 18.5224
