cellID X_coor Y_coor Z_coor UMean_X UMean_Y UMean_Z CpMean It Uin gradp Angle
34550 0.0248365 0.446864 0.0248368 13.8433 0.552561 4.86858 -0.502103 0.0455075 1.04801 2.7083 22.5
95962 0.0190115 0.441162 0.0190117 13.314 0.677156 4.60386 -0.548534 0.0475818 1.04532 3.03279 22.5
95967 0.0248372 0.441184 0.0190118 13.1934 0.407411 4.59491 -0.539266 0.0477431 1.04533 2.80077 22.5
96014 0.0190115 0.441184 0.0248374 13.1617 0.676631 4.6165 -0.549729 0.0481161 1.04533 2.98171 22.5
96020 0.0248371 0.441205 0.0248374 13.013 0.420601 4.57619 -0.540514 0.0485612 1.04534 2.73565 22.5
96175 0.0190114 0.446828 0.0190116 14.0157 0.781126 4.87797 -0.505631 0.0457627 1.04799 2.96269 22.5
96181 0.0248366 0.446846 0.0190116 13.9245 0.52972 4.88878 -0.500127 0.0453733 1.048 2.74767 22.5
96235 0.0190114 0.446846 0.0248368 13.9424 0.79683 4.87812 -0.507462 0.04581 1.048 2.92612 22.5
96293 -0.0276764 0.441297 -0.0276768 14.5712 2.71618 4.16315 -0.398147 0.0497984 1.04539 4.46076 22.5
96300 -0.0276792 0.441231 0.0190122 14.2146 3.54524 5.00161 -0.49144 0.0517138 1.04535 4.81909 22.5
96302 -0.0276783 0.441264 -0.0218214 14.5721 2.89714 4.17853 -0.416072 0.0504852 1.04537 4.58742 22.5
96304 0.0651229 0.403236 -0.0275907 10.4952 -0.622867 4.19322 -0.504615 0.0173793 1.0267 0.154679 22.5
96307 0.0248379 0.441251 -0.0276778 14.11 0.211052 5.52633 -0.440488 0.043653 1.04536 2.55341 22.5
96309 0.0248281 0.402122 -0.0276062 7.23626 -0.731845 3.98807 -0.563267 0.0167405 1.02613 1.89454 22.5
96310 0.0656022 0.441664 -0.0276462 13.647 -0.167328 6.25424 -0.389021 0.0433928 1.04556 1.44829 22.5
96311 0.0651229 0.403235 -0.0217569 10.2378 -0.674786 4.75432 -0.506549 0.0182019 1.0267 0.834839 22.5
96312 0.0248377 0.441217 -0.0218221 14.1107 0.151833 5.40232 -0.458163 0.0436562 1.04535 2.6254 22.5
96313 0.0248279 0.402119 0.0190065 -1.10346 0.0955712 0.958894 -0.612102 0.00849974 1.02613 1.25736 22.5
96314 0.0655966 0.441626 0.0190124 13.0588 -0.753541 5.16138 -0.461903 0.0445717 1.04554 1.57591 22.5
96315 0.0248281 0.40212 -0.0217609 5.75399 -0.69219 4.12767 -0.577218 0.0181321 1.02613 2.30436 22.5
96316 0.0655998 0.441646 -0.0218 13.6531 -0.305079 6.18487 -0.399851 0.0429086 1.04555 1.50024 22.5
96317 0.0651226 0.403233 0.0190071 4.14806 -0.280285 4.03372 -0.507963 0.0225023 1.0267 0.550258 22.5
96332 -0.0276777 0.441251 0.0248379 14.1782 3.49232 5.14317 -0.495478 0.0517754 1.04536 4.95205 22.5
96336 -0.0276462 0.441664 0.0656022 13.7551 3.2627 5.48499 -0.399188 0.0513032 1.04556 3.04482 22.5
96339 -0.0218221 0.441217 0.0248377 14.1769 3.10138 5.0923 -0.520501 0.0500508 1.04535 4.8075 22.5
96340 0.0190114 0.441626 0.0655975 13.5305 1.3158 4.30639 -0.479037 0.0449254 1.04554 1.86868 22.5
96343 -0.0218001 0.441646 0.0655999 13.8058 3.0222 5.32632 -0.417448 0.0503097 1.04555 2.85022 22.5
96344 0.0651854 0.403948 0.0651849 0.979482 -0.186978 1.64335 -0.547579 0.0157918 1.02706 0.800944 22.5
96345 0.024828 0.40212 0.024828 -1.47661 0.0712789 0.189921 -0.602751 0.00820018 1.02613 1.19988 22.5
96346 0.0655975 0.441637 0.024838 12.8302 -0.74151 4.95748 -0.466909 0.0466547 1.04555 1.551 22.5
96347 0.0248368 0.441637 0.0655988 13.4407 1.08353 4.21451 -0.481955 0.0447817 1.04555 1.77393 22.5
96348 0.0651227 0.403234 0.0248294 3.29141 -0.147589 3.58041 -0.508902 0.0208324 1.0267 0.600242 22.5
96350 0.0656149 0.44182 0.0656199 12.8214 -0.29989 4.1206 -0.478306 0.0454882 1.04563 1.45034 22.5
96357 0.0190122 0.441231 -0.0276793 14.1938 0.343888 5.37814 -0.447099 0.0440011 1.04535 2.78662 22.5
96359 0.0190064 0.402121 -0.0276063 6.30735 -0.783221 3.82468 -0.591171 0.0174861 1.02613 2.29936 22.5
96360 -0.0218211 0.441264 -0.0276786 14.6065 2.3134 4.27996 -0.41924 0.0490118 1.04537 4.37367 22.5
96818 0.019012 0.441196 -0.0218232 14.1978 0.308953 5.25052 -0.465788 0.0441008 1.04534 2.86633 22.5
96819 0.0190065 0.402118 0.0190065 -1.68219 0.0965078 0.222183 -0.62909 0.00772097 1.02613 1.2646 22.5
96820 -0.0218231 0.441196 0.019012 14.2164 3.15436 4.95946 -0.516827 0.0500413 1.04534 4.71537 22.5
96821 0.0190065 0.402119 -0.021761 4.67946 -0.696594 3.84009 -0.608743 0.0182579 1.02613 2.47876 22.5
96822 -0.0218224 0.44123 -0.0218227 14.6083 2.48086 4.26734 -0.438365 0.0495908 1.04535 4.48606 22.5
97861 -0.0455588 0.418989 -0.0455598 13.6964 3.72093 2.88261 -0.540522 0.0462318 1.0346 10.5716 22.5
97862 -0.0276027 0.402162 -0.0455064 1.58975 -0.506339 -0.481437 -0.764092 0.0133809 1.02615 1.41717 22.5
97864 -0.0277085 0.418486 -0.0277088 9.83583 1.91277 2.01857 -0.713619 0.0463183 1.03435 4.5349 22.5
97866 -0.0276955 0.418754 -0.0456014 13.2515 1.36053 3.78739 -0.602309 0.0381871 1.03448 6.72313 22.5
97867 -0.0456009 0.418754 -0.027696 12.4472 4.69332 2.74116 -0.614366 0.043459 1.03448 9.43963 22.5
97868 -0.051585 0.419355 -0.0515866 13.8053 4.50317 2.69003 -0.401621 0.0507309 1.03478 10.5699 22.5
97875 -0.045528 0.419182 -0.051626 13.9319 3.573 2.99733 -0.480198 0.0469061 1.03469 10.4471 22.5
97876 -0.0275992 0.402249 -0.0517331 6.57795 1.10633 1.41673 -0.783532 0.0187353 1.02619 4.53619 22.5
97881 -0.0276883 0.41897 -0.0516762 13.889 1.46142 4.39065 -0.548618 0.0393441 1.03459 7.19758 22.5
97882 -0.0516246 0.419182 -0.0455294 13.8259 4.7036 2.75806 -0.470994 0.0505684 1.03469 11.8462 22.5
97888 -0.0516755 0.41897 -0.0276889 13.0612 5.8197 2.92938 -0.537978 0.0493604 1.03459 11.8199 22.5
97898 -0.0456095 0.418698 -0.00429495 11.0297 5.23632 3.45412 -0.63288 0.0432628 1.03445 6.55301 22.5
97900 -0.0277105 0.418455 -0.0218297 8.47577 1.98887 1.49608 -0.718327 0.0487123 1.03433 4.01943 22.5
97902 -0.0456053 0.418728 -0.0218222 12.0373 4.92893 2.86928 -0.62537 0.043345 1.03447 8.65604 22.5
97904 -0.0277125 0.41842 -0.0042964 4.77966 1.68664 0.495893 -0.692443 0.0533288 1.03431 2.83046 22.5
97905 -0.0516851 0.418918 0.00153419 11.8147 6.42832 4.14525 -0.567246 0.0460358 1.03456 9.3558 22.5
97911 -0.0516826 0.418929 0.0190111 11.597 6.38313 5.12248 -0.619437 0.0449436 1.03457 9.24882 22.5
97912 -0.0516849 0.418919 -0.00429436 11.9874 6.35707 3.89973 -0.561572 0.0467103 1.03456 9.93951 22.5
97917 -0.0516805 0.418947 -0.0218184 12.7251 6.03356 3.15505 -0.547224 0.0489852 1.03458 11.5778 22.5
97919 -0.0456096 0.418696 0.00153393 10.6768 5.31855 3.7113 -0.636821 0.0431969 1.03445 6.00255 22.5
97925 -0.0456074 0.41871 0.0190105 10.1263 5.29103 4.7256 -0.680646 0.0433626 1.03446 5.65256 22.5
97926 0.0481419 0.418981 -0.0455581 12.6506 0.158475 6.98531 -0.471479 0.0416167 1.03459 3.30225 22.5
97927 0.0651146 0.403267 -0.0452469 9.03211 0.114832 2.19064 -0.497988 0.0148298 1.02671 2.89063 22.5
97928 0.0480976 0.402164 -0.0276027 9.29285 -0.614005 3.74403 -0.499352 0.0150729 1.02615 0.987356 22.5
97929 0.0656017 0.419619 -0.0276732 12.7741 -0.719253 6.83373 -0.461106 0.0387266 1.03491 1.60606 22.5
97930 0.0480992 0.4022 -0.0454757 9.71841 -0.272173 1.26097 -0.577539 0.0142071 1.02617 2.22775 22.5
97931 0.0656302 0.419765 -0.0454452 12.4289 0.593254 6.92433 -0.423937 0.0416371 1.03498 2.72747 22.5
97932 0.0481328 0.418748 -0.027695 12.8922 -0.901951 6.62419 -0.496287 0.0365811 1.03448 1.37883 22.5
97933 0.0423183 0.419066 -0.0516502 12.6574 0.830298 6.9823 -0.462649 0.0431429 1.03463 4.34082 22.5
97936 0.0248287 0.402247 -0.0517348 10.0779 0.807392 0.632722 -0.670953 0.018758 1.02619 4.94246 22.5
97938 0.0422932 0.40226 -0.0517193 9.90507 0.907997 0.344052 -0.615836 0.0179202 1.0262 4.30815 22.5
97939 0.0248364 0.418942 -0.0516799 13.0054 0.51416 6.95721 -0.495393 0.0436153 1.03457 4.86776 22.5
97940 0.0481486 0.419172 -0.0516242 12.583 0.94045 6.95065 -0.448926 0.0429977 1.03469 4.11083 22.5
97941 0.0651142 0.403327 -0.0512675 8.92634 1.53178 1.60513 -0.467514 0.0179291 1.02674 4.1619 22.5
97945 0.0481039 0.402285 -0.0516887 9.74818 0.959991 0.363827 -0.588618 0.017771 1.02621 3.74732 22.5
97946 0.065652 0.419873 -0.0514672 12.5218 1.30325 6.76266 -0.399116 0.0432499 1.03503 2.89206 22.5
97947 0.0423142 0.418863 -0.0455793 12.7716 0.0421951 6.98605 -0.484923 0.0417125 1.03453 3.43702 22.5
97948 0.0422881 0.402138 -0.0276047 8.93182 -0.610262 3.88041 -0.507025 0.0152276 1.02614 1.00462 22.5
97949 0.0248285 0.40216 -0.0455076 9.90204 -0.478612 1.96695 -0.638681 0.0151409 1.02615 3.40707 22.5
97950 0.0248341 0.418452 -0.0277102 12.4018 -1.02812 5.80989 -0.562728 0.0362777 1.03433 2.27048 22.5
97951 0.0422903 0.402174 -0.0454964 9.86829 -0.331764 1.35352 -0.5943 0.0145068 1.02616 2.67464 22.5
97952 0.0248355 0.418724 -0.0456048 13.1684 -0.19131 6.86503 -0.51946 0.0414889 1.03447 3.75592 22.5
97953 0.0423084 0.418614 -0.027701 12.8781 -0.942293 6.51326 -0.509263 0.0361645 1.03441 1.4339 22.5
97954 0.0481303 0.418693 -0.00429471 9.4962 -1.35288 4.6281 -0.53664 0.0490425 1.03445 1.40727 22.5
97955 0.0480977 0.402162 -0.0217595 8.57806 -0.594473 4.2506 -0.491679 0.0158306 1.02615 0 22.5
97956 0.0655979 0.419601 -0.0218104 12.7995 -0.912747 6.72169 -0.468947 0.0372055 1.0349 1.34537 22.5
97957 0.0651224 0.403233 -0.0042822 8.16896 -0.590076 5.01046 -0.515522 0.0216104 1.0267 0.0797586 22.5
97958 0.0481317 0.418723 -0.0218214 12.6306 -1.0454 6.40282 -0.503058 0.0362269 1.03446 1.20889 22.5
97959 0.0480976 0.40216 -0.00428184 5.4941 -0.419125 4.65686 -0.515677 0.0175849 1.02615 1.19149 22.5
97960 0.0655931 0.419578 -0.00429343 11.6154 -1.31555 5.89881 -0.492166 0.0390868 1.03489 1.19003 22.5
97961 0.0423065 0.418552 0.00153363 6.81255 -1.16717 3.11543 -0.567751 0.0613079 1.03438 1.63613 22.5
97962 0.0248335 0.418399 0.0190093 0.744565 0.430989 -0.627892 -0.623124 0.0497985 1.0343 1.19175 22.5
97963 0.024828 0.402118 0.00154053 1.10519 -0.247358 3.20493 -0.629861 0.0141481 1.02613 1.88083 22.5
97964 0.0422879 0.402135 0.0190065 1.193 -0.116068 3.10972 -0.562705 0.0130468 1.02614 1.32877 22.5
97965 0.0248336 0.418382 0.00153287 3.75168 -0.645596 1.05737 -0.63718 0.065422 1.0343 1.71824 22.5
97966 0.0422881 0.402134 0.00154057 3.74765 -0.370067 4.41682 -0.549949 0.0167629 1.02613 1.90292 22.5
97967 0.0423066 0.418568 0.0190095 2.58364 -0.172739 0.722578 -0.571758 0.0590057 1.03439 1.11089 22.5
97968 0.0423066 0.418554 -0.00429531 8.58216 -1.31875 4.04645 -0.5572 0.0537056 1.03438 1.67282 22.5
97969 0.042288 0.402136 -0.0217602 8.07612 -0.548133 4.32077 -0.50508 0.0161581 1.02614 1.23433 22.5
97970 0.0248339 0.418421 -0.0218308 11.1747 -1.14456 5.05238 -0.582327 0.0397447 1.03432 2.38814 22.5
97971 0.024828 0.402119 -0.00428196 2.03119 -0.37076 3.61798 -0.622465 0.0155507 1.02613 2.17637 22.5
97972 0.0248335 0.418385 -0.00429654 5.59518 -1.00121 1.98262 -0.631407 0.0638179 1.0343 2.07122 22.5
97973 0.0423077 0.418587 -0.0218248 12.4526 -1.09128 6.21125 -0.517927 0.0363491 1.0344 1.4051 22.5
97974 0.042288 0.402134 -0.00428193 4.69088 -0.419695 4.55507 -0.53733 0.017341 1.02614 1.78542 22.5
97975 0.0481302 0.418691 0.00153397 7.84261 -1.26847 3.74774 -0.546545 0.057734 1.03445 1.42757 22.5
97976 0.0651223 0.403232 0.0015404 7.06984 -0.56719 4.80876 -0.509112 0.0232151 1.02669 0.59768 22.5
97977 0.0480976 0.402161 0.0190065 2.02545 -0.175586 3.60792 -0.545038 0.0143012 1.02615 1.30059 22.5
97978 0.0655943 0.419587 0.0190114 6.33342 -0.972497 2.95511 -0.514603 0.0633732 1.03489 0.840304 22.5
97979 0.0480976 0.40216 0.0015406 4.5386 -0.361649 4.57124 -0.525644 0.0172179 1.02615 1.38868 22.5
97980 0.0655927 0.419577 0.00153468 10.5786 -1.38711 5.29451 -0.499459 0.0444093 1.03489 1.10707 22.5
97981 0.0481304 0.418705 0.0190099 3.40592 -0.391709 1.27325 -0.55564 0.0616543 1.03446 1.04463 22.5
98018 -0.0455581 0.418981 0.0481419 11.5207 4.27202 5.91816 -0.684508 0.0430155 1.03459 9.59289 22.5
98024 -0.0454452 0.419765 0.0656302 11.8519 4.59271 5.44398 -0.476175 0.0444569 1.03498 5.18282 22.5
98025 -0.0516502 0.419066 0.0423183 12.047 5.64077 6.15715 -0.639389 0.0467339 1.03463 12.0672 22.5
98030 -0.0517193 0.40226 0.0422932 -3.61526 -0.0614924 -1.3379 -0.906157 0.00986473 1.0262 5.5437 22.5
98031 -0.0516799 0.418942 0.0248364 11.6465 6.26611 5.43803 -0.634984 0.0448277 1.03457 9.72314 22.5
98032 -0.0455793 0.418863 0.0423141 11.0405 4.58725 5.77441 -0.71585 0.0429186 1.03453 9.12733 22.5
98037 -0.0456048 0.418724 0.0248355 10.1992 5.1782 5.07367 -0.698173 0.0430768 1.03447 6.05652 22.5
98039 -0.0516243 0.419172 0.0481486 12.2851 5.29151 6.28814 -0.623982 0.0481908 1.03469 12.1375 22.5
98045 -0.0514671 0.419873 0.065652 12.1031 5.18876 6.11894 -0.443669 0.0509739 1.03503 6.51099 22.5
98054 0.0190092 0.418399 0.0248336 0.744625 0.541633 -1.05859 -0.636602 0.0474872 1.0343 1.27879 22.5
98059 0.0190093 0.418568 0.0423069 4.26391 -0.399493 -1.32788 -0.613685 0.0559525 1.03439 1.5289 22.5
98073 0.0190096 0.418705 0.0481307 5.22818 -0.588266 -1.40466 -0.597375 0.0564798 1.03446 1.47454 22.5
98074 0.0481366 0.418977 0.0481378 5.00957 -0.798323 0.156048 -0.541324 0.0568511 1.03459 0.735357 22.5
98075 0.0651208 0.40327 0.0481054 1.41827 -0.233966 1.8402 -0.51696 0.0169855 1.02671 0.651818 22.5
98076 0.0481056 0.403269 0.0651209 -0.334717 0.509211 0.528928 -0.569556 0.00781802 1.02671 1.20223 22.5
98077 0.0656919 0.420149 0.0656961 5.5005 -0.779934 0.867563 -0.539993 0.0550153 1.03517 1.18532 22.5
98078 0.0480993 0.402201 0.0480993 0.0168789 -0.30998 1.28997 -0.547317 0.0115456 1.02617 0.987947 22.5
98079 0.0656232 0.419756 0.0481555 5.28541 -0.751322 1.14422 -0.517097 0.0579547 1.03497 0.454283 22.5
98080 0.0481531 0.419756 0.0656255 3.97706 -0.330691 -0.25682 -0.556481 0.0484559 1.03497 1.14087 22.5
98081 0.0423087 0.418733 0.0423094 4.12732 -0.530375 -0.187948 -0.551581 0.056001 1.03447 0.728527 22.5
98082 0.0248335 0.418418 0.0248336 0.969082 0.443468 -0.83961 -0.616934 0.0487417 1.03431 1.25401 22.5
98083 0.0422879 0.402136 0.0248282 0.414141 -0.00740984 2.26236 -0.556841 0.0109871 1.02614 1.06056 22.5
98085 0.0422888 0.40215 0.0422888 -0.328314 -0.220295 0.861443 -0.552136 0.0107536 1.02614 0.865539 22.5
98086 0.0423068 0.418584 0.0248342 2.17034 0.0234382 0.246986 -0.565995 0.0547437 1.0344 1.00852 22.5
98087 0.0248338 0.418584 0.0423072 4.24412 -0.462627 -1.12314 -0.595876 0.0557543 1.0344 1.24866 22.5
98088 0.048134 0.418859 0.0423112 4.13722 -0.523839 0.150294 -0.53995 0.056311 1.03453 0.603163 22.5
98089 0.0651218 0.403248 0.0422953 1.55837 -0.0830027 2.04414 -0.510882 0.0164007 1.0267 0.53505 22.5
98090 0.0480977 0.402162 0.0248283 1.25722 -0.0778186 2.95512 -0.54259 0.0125241 1.02615 1.05436 22.5
98091 0.0655963 0.419597 0.0248367 5.21481 -0.710365 2.25535 -0.515917 0.0629706 1.0349 0.714739 22.5
98092 0.0480983 0.402176 0.0422899 0.0309024 -0.176122 1.25947 -0.539125 0.0111234 1.02616 0.776641 22.5
98093 0.0481308 0.41872 0.0248345 2.77941 -0.154493 0.719998 -0.551546 0.0573466 1.03446 0.91194 22.5
98094 0.0656116 0.419686 0.0423216 4.69703 -0.553344 1.19326 -0.515142 0.0579545 1.03494 0.435692 22.5
98095 0.0423102 0.418859 0.0481349 5.01107 -0.79987 -0.194631 -0.551864 0.0564533 1.03453 0.799254 22.5
98096 0.0422953 0.403247 0.065122 -0.678951 0.774882 0.0276525 -0.576955 0.00612256 1.0267 1.15289 22.5
98099 0.0422899 0.402176 0.0480983 -0.305969 -0.341454 0.98143 -0.560932 0.0109348 1.02616 1.03944 22.5
98100 0.024834 0.41872 0.0481313 5.13763 -0.670898 -1.18312 -0.585685 0.0562346 1.03446 1.1607 22.5
98101 0.0423197 0.419686 0.0656135 3.51374 -0.178239 -0.57251 -0.558519 0.0460726 1.03494 1.07722 22.5
98111 -0.0217595 0.402161 -0.0455075 3.23702 -0.51152 0.376677 -0.75471 0.0143519 1.02615 1.54939 22.5
98112 -0.00428194 0.402121 -0.0276063 1.65911 -0.538114 1.86667 -0.707381 0.0155259 1.02613 1.97238 22.5
98113 -0.0218296 0.418455 -0.0277106 9.33362 1.1917 2.00094 -0.706403 0.0481007 1.03433 4.24522 22.5
