cellID,HAWT,HAWT_ML,VAWTHM,VAWTHM_ML
34550,1.993716049,1.991053271,1.993919006,1.991264049
95962,1.708645994,1.706435859,1.708778259,1.706577819
95967,1.617347732,1.615866183,1.619344643,1.61788586
96014,1.672857601,1.670536367,1.67310305,1.670792552
96020,1.609564755,1.607697037,1.611066397,1.609224212
96175,2.08864759,2.086074882,2.088844737,2.086267154
96181,1.993094244,1.990858282,1.993557696,1.991329199
96235,2.065864869,2.063117707,2.065970278,2.063220214
96287,0.001217266,0.001183154,0.00121917,0.001184982
96293,2.59064218,2.587511873,2.662416143,2.65932848
96297,0.004320636,0.004228864,0.004327006,0.004234918
96300,2.564854036,2.561319431,2.727788288,2.724107802
96302,2.609374061,2.606209244,2.689909708,2.68681577
96303,0.020175131,0.02000687,0.020364625,0.020193241
96304,1.012941172,1.009684074,1.017968129,1.014696959
96307,2.261456272,2.258782109,2.270758825,2.268048341
96309,0.329632923,0.328248452,0.330989018,0.329644421
96310,2.076295668,2.074487213,2.092156262,2.090341811
96311,0.964609085,0.960977617,0.96904102,0.965420323
96312,2.214008619,2.211354771,2.224170097,2.221472491
96313,0.007734561,0.007809164,0.007770256,0.007846194
96314,1.470302105,1.470381261,1.493779427,1.493894117
96315,0.237393427,0.236704278,0.238536588,0.237880077
96316,2.050321535,2.048570602,2.069540867,2.067803735
96317,0.30045968,0.300068231,0.301692426,0.301314457
96330,0.010008495,0.009768331,0.023439326,0.022969687
96332,2.552498798,2.548977722,2.723636251,2.719827661
96334,0.019663361,0.019519748,0.019739988,0.01959606
96336,2.246727627,2.24433435,2.401560319,2.398821628
96337,0.010160911,0.009887772,0.020761812,0.020311176
96338,0.001199478,0.001234522,0.001248749,0.001284712
96339,2.547240477,2.543538345,2.668114427,2.664248505
96340,1.532581932,1.530343284,1.538987427,1.53673185
96341,0.015995278,0.015858732,0.016030207,0.015893377
96342,1.3793E-06,2.99815E-06,0.00012458,0.000128236
96343,2.27141745,2.268550931,2.39951578,2.396323308
96344,0.06055867,0.061355753,0.061330328,0.062122737
96345,0.004828485,0.004908466,0.004908981,0.004990477
96346,1.428161725,1.428340519,1.449615256,1.449836165
96347,1.453940555,1.451746138,1.456447756,1.454246327
96348,0.238852829,0.238846385,0.239738227,0.239736477
96349,6.66017E-05,8.75516E-05,0.00012884,0.000152853
96350,1.114643511,1.114281843,1.122788331,1.122461534
96354,1.59578E-05,1.51599E-05,1.69481E-05,1.61373E-05
96357,2.301878971,2.298972919,2.308934768,2.305988316
96359,0.233886214,0.23311499,0.235298206,0.234556508
96360,2.632332231,2.628947504,2.672767173,2.669470161
96817,0.000774783,0.000748442,0.000774789,0.000748547
96818,2.267349764,2.264392674,2.273408283,2.270420026
96819,0.001889891,0.001923888,0.001921675,0.001956412
96820,2.557980306,2.554356684,2.682785871,2.679013827
96821,0.150544901,0.150382219,0.151525251,0.151385436
96822,2.638985651,2.635694908,2.691830954,2.688601359
96823,0.017079705,0.016918335,0.017139162,0.016976506
97861,2.464845187,2.456144201,2.708705392,2.699707989
97862,0.002927668,0.002928601,0.003255158,0.00325362
97863,0.010874896,0.010825105,0.011224813,0.011165161
97864,0.512831049,0.510571356,0.514851208,0.512529199
97865,0.000834399,0.000839058,0.000890536,0.00089332
97866,1.425527605,1.418154516,1.425531385,1.418162466
97867,1.80790542,1.799784028,2.118017107,2.109238146
97868,2.537561705,2.530263107,2.895820229,2.888475571
97874,0.000250259,0.000364337,0.000282888,0.000396536
97875,2.621648566,2.613484223,2.828770308,2.820464062
97876,0.023503296,0.0233073,0.02551924,0.025303628
97880,1.77588E-06,2.02856E-06,1.77734E-06,2.05095E-06
97881,1.876263027,1.86831858,1.876314761,1.868367753
97882,2.472479938,2.465523081,2.955017877,2.947324826
97883,0.009539931,0.009704879,0.009892716,0.010051658
97887,0.002569053,0.002801892,0.002819893,0.003049505
97888,2.314260637,2.307816549,2.977575756,2.970709166
97898,1.015785397,1.009941589,1.25927079,1.252853089
