Length,Actual,+,-
-0.0667,1.767343302,0.009258573,-0.030633233
-0.0571793,1.994842576,0.016486858,-0.030914424
-0.0512724,2.199386778,0.02105709,-0.033225687
-0.0453612,2.387159551,0.032779786,-0.026753756
-0.0394571,2.53511914,0.019834188,-0.041200344
-0.0335661,2.645367211,0.022285906,-0.038201244
-0.0276903,2.696715744,0.027192029,-0.0296796
-0.0218283,2.706389933,0.029996547,-0.021056095
-0.0159777,2.671533128,0.012391061,-0.031541845
-0.010136,2.607750671,0.018130768,-0.019461746
-0.00430056,2.531650076,0.014740976,-0.018315962
0.00153069,2.450458008,0.004454588,-0.026068756
0.00735917,2.374163604,0.018152784,-0.011250668
0.0131864,2.307223249,0.012507291,-0.016318467
0.0190127,2.255197103,0.003930142,-0.025017332
0.0248387,2.207946736,0.004317651,-0.024937256
0.0306648,2.173883791,0.007507536,-0.022188696
0.0364911,2.147061582,-8.20296E-05,-0.029902996
0.0423174,2.12472668,-1.01082E-05,-0.029911839
0.0481432,2.106443299,0.000352289,-0.029509868
0.0539681,2.098479837,0.002736771,-0.026809956
0.059791,2.088912513,-0.002115563,-0.031417981
0.0667,2.096145381,-0.000975887,-0.030049539
