Length,WPD_HAWT,WPD_VAWT_VM,WPD_VAWT_HM,Error
-0.0667,1.721326901,1.941925821,1.767343302,0.137103417
-0.0571793,1.932552869,2.152627688,1.994842576,0.123824808
-0.0512724,2.127552691,2.318313037,2.199386778,0.101080366
-0.0453612,2.304950734,2.468121752,2.387159551,0.080167931
-0.0394571,2.451919578,2.575586348,2.53511914,0.066689078
-0.0335661,2.561601885,2.649773355,2.645367211,0.048745608
-0.0276903,2.618632041,2.677577105,2.696715744,0.045538173
-0.0218283,2.637254621,2.669342954,2.706389933,0.046083001
-0.0159777,2.614910559,2.627905767,2.671533128,0.054788951
-0.010136,2.561218346,2.569920137,2.607750671,0.068278681
-0.00430056,2.499599044,2.501118444,2.531650076,0.082299303
0.00153069,2.426495217,2.430125388,2.450458008,0.098384976
0.00735917,2.357958954,2.366786748,2.374163604,0.116440073
0.0131864,2.297609544,2.307222449,2.307223249,0.132947319
0.0190127,2.250924547,2.259978783,2.255197103,0.144427426
0.0248387,2.205149519,2.217666793,2.207946736,0.154463122
0.0306648,2.171084751,2.182538916,2.173883791,0.159202347
0.0364911,2.142872761,2.158120017,2.147061582,0.161100309
0.0423174,2.121548949,2.134228427,2.12472668,0.161558456
0.0481432,2.103090693,2.1131898,2.106443299,0.160794859
0.0539681,2.093738173,2.104327682,2.098479837,0.156475872
0.059791,2.080494917,2.092938152,2.088912513,0.152625091
0.0667,2.088606409,2.095412499,2.096145381,0.143113119
